id,text,speaker,isLoop,otherEvent,wait,isEnd,afterLine,eventAfter,delayTime,canInterrupt
dialogue_0_1,"Press Space to start the game. If you can't, try turning off your screen reader software or whatever is reading the web page.",system,1,,space,,,,6,1
dialogue_0_2,Headphones create a much better experience.,system,,,,,,,2,
adjustVolume,Press s and w to adjust background music,system,,,,,,,2,
dialogue_0_3,Pause the game by hitting the P key anytime you want.,system,,,,,,,4,
dialogue_0_4,"You were once a simple painter, making an honest living in your village.",system,,,,,,,2,
dialogue_0_5,"Then the Awakening flooded the land, erasing your sight but imbuing you with great healing abilities.",system,,,,,,,2,
dialogue_0_6,"Your life mission is to venture forth, discover the cause of the Awakening, and perhaps regain your sight.",system,,,,,,,2,
dialogue_0_7,"And that, my dear friends, is where our story begins...",system,,,,,,,4,
dialogue_1_1,"Are you alright, Pell? You've been asleep for days!",hero1,1,,,,,,1,
dialogue_1_2,"So you can't see anything, aye? Another gift from the Awakening. Just be grateful you have both feet.",hero1,1,,,,,,1,
dialogue_1_3,How's your healing ability? Any good?,hero1,,,,,,,1,
dialogue_1_4,Let's see if you know how to handle yourself in a fight.,hero1,,,,,,,1,
dialogue_1_5,Remember how to rotate? Press the left or right arrow key to rotate yourself.,hero1,1,music|tense,rotate,,,,1,
dialogue_1_51,"Each rotation is 45 degrees, rotate 8 times to make a complete circle.",hero1,,,,,,,1,
dialogue_1_52,"These tricky bastards like to spawn wherever fancies them. I'll take them out, but you make sure to heal me!",hero1,,,,,,,1,
dialogue_1_6,You won't be able to cast spell to me unless you face me. Rotate until my voice gets louder!,hero1,1,move|hero1|first,face,,,,1,
dialogue_1_7,"Good. The better you can hear me, the closer you are to finding my location.",hero1,,,,,,,1,
dialogue_1_8,Press the 1 key to cast a healing spell.,hero1,1,,heal,,,,1,
dialogue_1_9,"Good, now I'm going to move to another place, keep rotating to heal me.",hero1,1,move|hero1|first,heal,,,,1,
dialogue_1_10,You got the basics down. Let's see how you do on a real adventure. ,hero1,,,,,,,1,
dialogue_2_1,You leveled up!,system,,music|calm,,,,,1,
dialogue_2_2,You learned a new spell: Kineto,system,,,,,,,1,
dialogue_2_3,Press the 2 key to cast Kineto.,system,,hero1PlayMove,speedup,,,,4,
dialogue_2_4,"Well, I'll be. That new spell is sure to come in handy.",hero1,,hero1StopPlayMove,,,,,1,
dialogue_2_5,"You sure know you're stuff, Pell.",hero1,,ambIn|dayAmb,,,,,1,
dialogue_3_1,"Oh, I haven't introduced myself. I'm Kinrick!",hero1,,,,,,,0,
dialogue_3_2,"I was a farmer my whole life, then the Awakening took everything away...",hero1,,,,,,,1,
dialogue_3_3,"I lost my left arm, sure. But my right arm grew in strength tenfold!",hero1,,,,,,,1,
dialogue_3_4,But the power comes at a cost. I've hurt many people on accident... even family.,hero1,,,,,,,1,
dialogue_3_5,My life was normal before these Awakening monsters ruined everything. So I'll be dammed if I don't take out each and everyone!,hero1,,,,,,,2,
dialogue_3_6,"And now here we are, teamed up with a healer I found lying on the ground.",hero1,,,,,,,1,
dialogue_3_7,"So how about you? You... Wait, Shhh...",hero1,,,,,sfx|goblinShow,,2,
dialogue_3_8,"Huh, I guess I really do have a big mouth. The wife was right. Anyway, get ready for a fight!",hero1,,music|tense,,,,,1,
dialogue_3_9,These goblins are pretty easy. They're too stupid so I can agro them just for standing close.,hero1,,,,,,,1,
